Segment	Start	End	NGS_read_count
PB2	670	1872	1
PB2	552	1978	1
PB2	557	1934	1
PB2	661	1797	1
PB2	572	1946	1
PB2	769	1891	1
PB2	591	2011	1
PB2	457	2037	1
PB2	592	1958	1
PB2	406	1762	1
PB2	727	1712	1
PB2	565	1927	1
PB2	763	1859	1
PB2	506	1917	1
PB2	481	1844	1
PB2	750	1833	1
PB2	707	1764	1
PB2	396	1856	1
PB2	426	2042	1
PB2	722	2068	1
PB2	427	2033	1
PB2	583	1857	1
PB2	772	1808	1
PB2	443	1699	1
PB2	558	1869	1
PB2	400	1843	1
PB2	425	1987	1
PB2	655	1714	1
PB2	494	1882	1
PB2	443	1774	1
PB2	580	2011	1
PB2	429	1946	1
PB2	624	1955	1
PB2	750	1876	1
PB2	494	1736	1
PB2	581	1956	1
PB2	459	1768	1
PB2	431	1744	1
PB2	735	2021	1
PB2	433	2048	1
PB2	433	1700	1
PB2	525	1839	1
PB2	531	1830	1
PB2	432	1779	1
PB2	434	1763	1
PB2	469	2005	1
PB2	585	1976	1
PB2	760	1956	1
PB2	717	1878	1
PB2	397	1933	1
PB2	682	1942	1
PB2	613	1835	1
PB2	676	1944	1
PB2	468	1883	1
PB2	475	1984	1
PB2	627	1791	1
PB2	579	1930	1
PB2	418	1871	1
PB2	479	1897	1
PB2	620	2016	1
PB2	594	1773	1
PB2	514	1909	1
PB2	430	1862	1
PB2	655	1946	1
PB2	377	1800	1
PB2	442	1744	1
PB2	547	1924	1
PB2	597	1749	1
PB2	594	1833	1
PB2	769	2072	1
PB2	436	1698	1
PB2	516	1707	1
PB2	409	1709	1
PB2	688	1746	1
PB2	520	1689	1
PB2	522	2062	1
PB2	430	1992	1
PB2	381	1896	1
PB2	598	1867	1
PB2	439	1752	1
PB2	486	1790	1
PB2	391	1940	1
PB2	714	1941	1
PB2	533	1766	1
PB2	461	1791	1
PB2	569	1997	1
PB2	716	1805	1
PB2	522	2082	1
PB2	441	2067	1
PB2	705	2038	1
PB2	499	1818	1
PB2	624	1706	1
PB2	555	1697	1
PB2	458	2069	1
PB2	380	2025	1
PB2	648	1804	1
PB2	503	1997	1
PB2	654	1935	1
PB2	608	2030	1
PB2	690	2063	1
PB2	441	1759	1
PB2	742	1984	1
PB2	517	1696	1
PB2	471	1935	1
PB2	456	1863	1
PB2	556	1826	1
PB2	454	2042	1
PB2	373	1989	1
PB2	602	2021	1
PB2	522	1776	1
PB2	381	1707	1
PB2	467	1814	1
PB2	700	2012	1
PB2	393	1787	1
PB2	394	1828	1
PB2	633	1829	1
PB2	746	2036	1
PB2	511	1717	1
PB2	533	2084	1
PB2	713	1825	1
PB2	753	2076	1
PB2	529	1804	1
PB2	418	2024	1
PB2	651	1967	1
PB2	741	1925	1
PB2	535	1710	1
PB2	619	2007	1
PB2	387	2028	1
PB2	650	1725	1
PB2	513	2051	1
PB2	589	1907	1
PB2	745	2046	1
PB2	520	2034	1
PB2	529	1789	1
PB2	644	1781	1
PB2	540	1908	1
PB2	681	1772	1
PB2	697	1948	1
PB2	577	1693	1
PB2	438	1778	1
PB2	615	1932	1
PB2	489	1715	1
PB2	673	2065	1
PB2	736	1885	1
PB2	547	1702	1
PB2	725	2010	1
PB2	682	1920	1
PB2	556	1900	1
PB2	548	2059	1
PB2	382	1776	1
PB2	522	1981	1
PB2	702	1713	1
PB2	475	1906	1
PB2	646	2017	1
PB2	456	1907	1
PB2	595	2063	1
PB2	420	2010	1
PB2	704	1758	1
PB2	633	1749	1
PB2	744	1817	1
PB2	629	2045	1
PB2	655	2047	1
PB2	420	2048	1
PB2	532	1974	1
PB2	607	1832	1
PB2	576	2049	1
PB2	598	2027	1
PB2	538	1773	1
PB2	374	1877	1
PB2	676	1913	1
PB2	608	1973	1
PB2	403	2033	1
PB2	725	1761	1
PB2	720	1789	1
PB2	580	1935	1
PB2	453	1993	1
PB2	378	1934	1
PB2	687	1759	1
PB2	652	1738	1
PB2	737	1816	1
PB2	501	2083	1
PB2	466	1904	1
PB2	651	1935	1
PB2	715	1930	1
PB2	380	1752	1
PB2	431	1748	1
PB2	698	1746	1
PB2	421	2084	1
PB2	769	1740	1
PB2	508	1907	1
PB2	583	1801	1
PB2	440	1916	1
PB2	498	1731	1
PB2	435	1966	1
PB2	698	1783	1
PB2	723	1729	1
PB2	589	1780	1
PB2	534	1694	1
PB2	460	1704	1
PB2	689	1783	1
PB2	580	2061	1
PB2	649	1831	1
PB2	483	1896	1
PB2	448	1753	1
PB2	500	1781	1
PB2	501	1752	1
PB2	555	1947	1
PB2	507	2040	1
PB2	463	2041	1
PB2	548	1899	1
PB2	734	1919	1
PB2	574	1719	1
PB2	465	1840	1
PB2	619	1692	1
PB2	455	2058	1
PB2	587	1968	1
PB2	402	1908	1
PB2	529	1984	1
PB2	751	1693	1
PB2	623	1793	1
PB2	541	1890	1
PB2	453	1923	1
PB2	469	1711	1
PB2	628	1706	1
PB2	725	1809	1
PB2	542	1778	1
PB2	759	1708	1
PB2	614	1787	1
PB2	646	1844	1
PB2	504	2014	1
PB2	701	2021	1
PB2	683	1957	1
PB2	457	1713	1
PB2	725	2072	1
PB2	747	1998	1
PB2	388	1975	1
PB2	694	1936	1
PB2	537	1982	1
PB2	414	1948	1
PB2	460	2016	1
PB2	442	1787	1
PB2	377	1997	1
PB2	576	1933	1
PB2	695	1718	1
PB2	443	1786	1
PB2	404	1848	1
PB2	604	1864	1
PB2	390	1845	1
PB2	463	1947	1
PB2	515	1890	1
PB2	632	1827	1
PB2	523	1737	1
PB2	735	2082	1
PB2	711	1800	1
PB2	688	1961	1
PB2	569	2080	1
PB2	489	1757	1
PB2	409	1952	1
PB2	542	1926	1
PB2	684	1896	1
PB2	557	2068	1
PB2	546	1863	1
PB2	710	1984	1
PB2	539	2037	1
PB2	575	1730	1
PB2	663	1978	1
PB2	706	1920	1
PB2	537	1907	1
PB2	408	1867	1
PB2	590	1782	1
PB2	652	1984	1
PB2	617	1703	1
PB2	773	1991	1
PB2	728	1815	1
PB2	647	1901	1
PB2	507	1820	1
PB2	492	1689	1
PB2	723	1887	1
PB2	440	1955	1
PB2	664	1960	1
PB2	663	1754	1
PB2	689	1822	1
PB2	611	1947	1
PB2	552	1693	1
PB2	460	2047	1
PB2	554	1929	1
PB2	553	1896	1
PB2	713	1880	1
PB2	443	2017	1
PB2	566	1920	1
PB2	461	1764	1
PB2	512	1993	1
PB2	740	1962	1
PB2	590	1762	1
PB2	479	2040	1
PB2	615	1828	1
PB2	703	1810	1
PB2	693	1845	1
PB2	378	1930	1
PB2	459	1850	1
PB2	492	1687	1
PB2	441	1897	1
PB2	565	1820	1
PB2	637	1822	1
PB2	687	1857	1
PB2	610	1715	1
PB2	686	1833	1
PB2	444	1994	1
PB2	754	2035	1
PB2	409	1881	1
PB2	464	1805	1
PB2	675	2041	1
PB2	551	1841	1
PB2	580	1937	1
PB2	500	1837	1
PB2	525	1918	1
PB2	726	2053	1
PB2	682	2059	1
PB2	406	1931	1
PB2	631	1890	1
PB2	698	1690	1
PB2	387	1775	1
PB2	679	2016	1
PB2	736	1952	1
PB2	647	1976	1
PB2	483	1769	1
PB2	386	1975	1
PB2	401	1898	1
PB2	705	1772	1
PB2	729	1818	1
PB2	766	1693	1
PB2	491	1915	1
PB2	418	1899	1
PB2	460	2014	1
PB2	399	1906	1
PB2	701	1969	1
PB2	659	2077	1
PB2	558	1817	1
PB2	542	1752	1
PB2	574	1960	1
PB2	496	2019	1
PB2	490	1778	1
PB2	491	2008	1
PB2	565	1870	1
PB2	691	1939	1
PB2	458	1923	1
PB2	716	1797	1
PB2	570	1909	1
PB2	715	1760	1
PB2	424	1721	1
PB2	439	1711	1
PB2	410	1726	1
PB2	431	1956	1
PB2	561	2062	1
PB2	691	1921	1
PB2	617	1831	1
PB2	399	1821	1
PB2	398	1983	1
PB2	488	1698	1
PB2	644	1790	1
PB2	584	1793	1
PB2	521	1831	1
PB2	681	1852	1
PB2	442	2067	1
PB2	578	1795	1
PB2	408	1868	1
PB2	770	1747	1
