Segment	Start	End	NGS_read_count
PB2	672	1905	1
PB2	777	1680	1
PB2	575	1773	1
PB2	652	1622	1
PB2	902	1940	1
PB2	532	1707	1
PB2	758	1792	1
PB2	582	1789	1
PB2	567	1824	1
PB2	880	1890	1
PB2	893	1836	1
PB2	778	1837	1
PB2	700	1761	1
PB2	543	1660	1
PB2	810	1628	1
PB2	574	1835	1
PB2	641	1601	1
PB2	784	1855	1
PB2	616	1599	1
PB2	829	1691	1
PB2	523	1925	1
PB2	696	1648	1
PB2	530	1866	1
PB2	608	1833	1
PB2	764	1723	1
PB2	816	1854	1
PB2	674	1765	1
PB2	863	1728	1
PB2	732	1722	1
PB2	520	1836	1
PB2	591	1887	1
PB2	846	1772	1
PB2	672	1780	1
PB2	834	1920	1
PB2	716	1558	1
PB2	726	1720	1
PB2	732	1898	1
PB2	754	1738	1
PB2	686	1814	1
PB2	727	1749	1
PB2	702	1802	1
PB2	580	1748	1
PB2	668	1775	1
PB2	818	1830	1
PB2	916	1783	1
PB2	818	1724	1
PB2	606	1763	1
PB2	770	1674	1
PB2	601	1718	1
PB2	746	1730	1
PB2	558	1887	1
PB2	517	1874	1
PB2	776	1572	1
PB2	664	1610	1
PB2	540	1596	1
PB2	736	1821	1
PB2	669	1717	1
PB2	857	1583	1
PB2	561	1816	1
PB2	677	1904	1
PB2	774	1746	1
PB2	824	1808	1
PB2	787	1945	1
PB2	624	1875	1
PB2	545	1652	1
PB2	622	1647	1
PB2	851	1778	1
PB2	707	1653	1
PB2	889	1761	1
PB2	758	1889	1
PB2	776	1801	1
PB2	858	1939	1
PB2	664	1567	1
PB2	799	1640	1
PB2	916	1784	1
PB2	704	1797	1
PB2	735	1584	1
PB2	607	1839	1
PB2	612	1810	1
PB2	712	1864	1
PB2	520	1673	1
PB2	533	1590	1
PB2	641	1677	1
PB2	623	1779	1
PB2	734	1637	1
PB2	593	1635	1
PB2	737	1596	1
PB2	781	1824	1
PB2	595	1673	1
PB2	767	1813	1
PB2	829	1590	1
PB2	906	1658	1
PB2	520	1734	1
PB2	595	1777	1
PB2	620	1707	1
PB2	530	1735	1
PB2	879	1808	1
PB2	688	1758	1
PB2	848	1885	1
PB2	775	1644	1
PB2	583	1783	1
PB2	753	1855	1
PB2	690	1813	1
PB2	531	1846	1
PB2	818	1573	1
PB2	553	1838	1
PB2	629	1744	1
PB2	832	1606	1
PB2	845	1571	1
PB2	892	1618	1
PB2	675	1645	1
PB2	569	1581	1
PB2	877	1648	1
PB2	824	1674	1
PB2	767	1712	1
PB2	745	1909	1
PB2	789	1713	1
PB2	805	1829	1
PB2	593	1940	1
PB2	852	1571	1
PB2	597	1624	1
PB2	631	1871	1
PB2	843	1899	1
PB2	586	1874	1
PB2	772	1627	1
PB2	800	1947	1
PB2	520	1651	1
PB2	758	1610	1
PB2	705	1777	1
PB2	762	1604	1
PB2	626	1807	1
PB2	849	1896	1
PB2	518	1644	1
PB2	519	1722	1
PB2	685	1832	1
PB2	521	1770	1
PB2	519	1706	1
PB2	835	1674	1
PB2	725	1867	1
PB2	586	1730	1
PB2	674	1746	1
PB2	615	1886	1
PB2	807	1638	1
PB2	748	1788	1
PB2	583	1797	1
PB2	765	1874	1
PB2	851	1651	1
PB2	772	1869	1
PB2	701	1794	1
PB2	803	1586	1
PB2	837	1754	1
PB2	531	1831	1
PB2	579	1729	1
PB2	738	1713	1
PB2	906	1671	1
PB2	641	1626	1
PB2	805	1585	1
PB2	882	1834	1
PB2	851	1850	1
PB2	666	1712	1
PB2	891	1876	1
PB2	546	1908	1
PB2	903	1602	1
PB2	860	1777	1
PB2	826	1670	1
