Segment	Start	End	NGS_read_count
PB2	446	2065	1
PB2	626	1741	1
PB2	709	1918	1
PB2	650	1770	1
PB2	764	2065	1
PB2	441	1790	1
PB2	599	1934	1
PB2	606	1764	1
PB2	757	1743	1
PB2	517	2085	1
PB2	702	1992	1
PB2	778	2048	1
PB2	607	2042	1
PB2	732	1744	1
PB2	473	1866	1
PB2	442	1870	1
PB2	627	1828	1
PB2	586	1906	1
PB2	748	1891	1
PB2	808	1894	1
PB2	834	2026	1
PB2	706	1958	1
PB2	485	1799	1
PB2	605	2059	1
PB2	525	1847	1
PB2	541	1952	1
PB2	574	2022	1
PB2	575	1988	1
PB2	532	1981	1
PB2	548	1878	1
PB2	625	1881	1
PB2	709	1824	1
PB2	614	1947	1
PB2	681	2013	1
PB2	590	1764	1
PB2	635	1901	1
PB2	514	1732	1
PB2	714	1965	1
PB2	757	1860	1
PB2	582	1767	1
PB2	495	2034	1
PB2	710	1809	1
PB2	550	2083	1
PB2	813	2012	1
PB2	720	1965	1
PB2	555	1851	1
PB2	488	1914	1
PB2	801	1897	1
PB2	833	2109	1
PB2	804	1929	1
PB2	539	1754	1
PB2	606	1816	1
PB2	738	1984	1
PB2	577	1853	1
PB2	656	1741	1
PB2	503	2048	1
PB2	622	1889	1
PB2	568	1914	1
PB2	802	1963	1
PB2	535	1960	1
PB2	749	1856	1
PB2	638	2000	1
PB2	699	1873	1
PB2	676	1874	1
PB2	782	2094	1
PB2	737	1821	1
PB2	535	1866	1
PB2	537	1797	1
PB2	687	1932	1
PB2	706	1753	1
PB2	832	1751	1
PB2	784	1885	1
PB2	587	2087	1
PB2	474	1871	1
PB2	443	1918	1
PB2	808	1873	1
PB2	777	2124	1
PB2	573	2122	1
PB2	519	1734	1
PB2	680	2011	1
PB2	600	2047	1
PB2	478	1951	1
PB2	541	1952	1
PB2	725	2067	1
PB2	762	1887	1
PB2	830	2110	1
PB2	663	1805	1
PB2	771	1810	1
PB2	593	1743	1
PB2	456	1985	1
PB2	459	1911	1
PB2	675	1800	1
PB2	653	2037	1
PB2	608	1760	1
PB2	527	2030	1
PB2	733	1782	1
PB2	761	2113	1
